net,length_um
_359_,3.08µm
_370_,3.08µm
_047_,2.96µm
_186_,2.96µm
_269_,2.96µm
_287_,2.96µm
_308_,2.96µm
_365_,2.96µm
_385_,2.96µm
net16,2.96µm
net23,2.96µm
_315_,2.86µm
_025_,2.76µm
_346_,2.76µm
_434_,2.76µm
_103_,2.64µm
_172_,2.64µm
_340_,2.64µm
_397_,2.64µm
_414_,2.64µm
_237_,2.625µm
_070_,2.62µm
_102_,2.62µm
_299_,2.62µm
_027_,2.5µm
_126_,2.5µm
_153_,2.5µm
_162_,2.5µm
_209_,2.5µm
_215_,2.5µm
_240_,2.5µm
_290_,2.5µm
_333_,2.5µm
_343_,2.5µm
_369_,2.5µm
_406_,2.5µm
_177_,2.4µm
_389_,2.3µm
_375_,2.18µm
_388_,2.18µm
_277_,2.16µm
_361_,2.16µm
_372_,2.16µm
_247_,2.07µm
net74,2.06µm
_117_,2.04µm
_154_,2.04µm
_200_,2.04µm
_356_,2.04µm
_023_,1.94µm
_084_,1.84µm
_115_,1.84µm
_244_,1.84µm
_123_,1.72µm
_129_,1.72µm
_221_,1.705µm
_138_,1.7µm
_149_,1.7µm
_173_,1.7µm
_227_,1.7µm
_390_,1.7µm
_396_,1.7µm
_450_,1.7µm
_218_,1.48µm
_270_,1.38µm
net71,1.38µm
_134_,1.26µm
_348_,1.26µm
net28,1.14µm
_143_,0.92µm
_197_,0.92µm
_213_,0.92µm
_309_,0.92µm
_318_,0.92µm
_364_,0.92µm
_326_,0.8µm
_024_,0.46µm
_208_,0.46µm
_239_,0.46µm
_383_,0.46µm
